2023-09-12 00:03:38 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 05:41:35 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 05:46:33 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 05:51:28 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 05:56:26 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 06:01:26 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 06:06:25 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 06:11:26 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 06:16:29 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 06:21:52 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 06:26:57 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 06:32:02 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 06:37:10 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 06:42:16 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 06:47:24 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 06:52:33 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 06:57:41 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 07:02:52 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 07:08:01 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 07:13:12 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 07:18:22 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 07:23:44 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 07:28:55 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 07:34:08 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 07:39:22 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 07:44:37 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 07:49:50 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 07:55:06 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 08:00:22 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 08:05:38 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 08:10:55 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 08:16:19 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 08:21:41 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 08:27:18 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 08:32:44 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 08:38:11 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 08:43:39 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 08:49:09 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
